City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,villa del campo,40.1422,-6.4268,295.96,40,100,5.4,ES,1683628589
288,corinto,37.9407,22.9573,293.09,54,96,2.59,GR,1683628590
289,bambamarca,-6.6833,-78.5333,284.7,91,90,1.72,PE,1683628590
290,gazojak,41.1875,61.4036,303.99,9,81,3.91,TM,1683628590
291,darwin,-12.4611,130.8418,301.14,44,0,2.57,AU,1683628590
292,tonj,7.2737,28.6822,311.05,30,94,1.21,SS,1683628590
293,ribeirao branco,-24.2208,-48.7656,291.55,92,85,0.5,BR,1683628591
294,san juan de uraba,8.7592,-76.5297,299.82,90,99,1.98,CO,1683628591
295,dakhla,23.6848,-15.958,292.16,88,100,9.26,EH,1683628591
296,krasnogvardeyskoye,45.8456,41.5186,282.62,87,100,4.4,RU,1683628591
297,east ballina,-28.8667,153.5833,285.94,95,5,7.26,AU,1683628591
298,huanuni,-18.2667,-66.85,274.38,78,74,0.61,BO,1683628591
299,jiexiu,37.0244,111.9125,288.89,46,100,2.95,CN,1683628592
300,svetlyy,54.675,20.1347,291.18,47,10,3.59,RU,1683628592
301,mossendjo,-2.9506,12.7261,299.27,81,95,1.17,CG,1683628592
302,margate,51.3813,1.3862,289.65,82,95,2.24,GB,1683628592
303,kayanza,-3.0667,29.6667,295.77,65,56,1.72,BI,1683628592
304,ostersund,63.1792,14.6357,285.4,35,100,7.72,SE,1683628592
305,pierre,44.3683,-100.351,284.97,87,0,1.54,US,1683628593
306,tekkekoy,41.2117,36.46,288.01,82,75,4.63,TR,1683628593
307,cannonvale,-20.2833,148.7,292.81,50,0,5.29,AU,1683628593
308,mukalla,14.5425,49.1242,304.97,43,17,4.83,YE,1683628593
309,berezovyy,51.6667,135.7,279.4,72,100,5.55,RU,1683628593
310,talovskiy,51.1144,40.73,284.0,47,100,6.63,RU,1683628594
311,uturoa,-16.7333,-151.4333,300.38,78,100,3.35,PF,1683628594
312,sisimiut,66.9395,-53.6735,272.45,82,99,4.18,GL,1683628594
313,vriddhachalam,11.5,79.3333,306.64,56,85,5.08,IN,1683628594
314,compostela,7.6731,126.0889,298.46,94,85,1.39,PH,1683628594
315,prievidza,48.7745,18.6275,290.34,41,16,1.98,SK,1683628595
316,bayanhongor,46.7167,100.1167,278.52,34,2,2.44,MN,1683628595
317,la'ie,21.6477,-157.9253,296.27,83,21,2.68,US,1683628594
318,assab,13.0092,42.7394,303.41,69,6,7.2,ER,1683628595
319,bad frankenhausen,51.35,11.1,294.87,53,4,4.65,DE,1683628595
320,laguna,38.421,-121.4238,285.04,86,40,3.09,US,1683628595
321,djibo,14.1022,-1.6306,310.28,20,100,2.45,BF,1683628596
322,touros,-5.1989,-35.4608,300.6,76,22,5.34,BR,1683628350
323,tralee,52.2704,-9.7026,285.29,87,75,4.63,IE,1683628596
324,leninskoye,41.7589,69.3864,298.95,27,2,4.29,KZ,1683628596
325,tidjikja,18.5564,-11.4271,308.59,19,71,4.56,MR,1683628596
326,east porterville,36.0574,-118.9757,285.76,82,0,0.0,US,1683628596
327,khandyga,62.6667,135.6,271.93,78,50,2.44,RU,1683628597
328,ust-nera,64.5667,143.2,269.92,71,57,3.14,RU,1683628597
329,sola,-13.8833,167.55,300.58,75,42,4.89,VU,1683628597
330,notodden,59.5594,9.2585,288.44,87,75,2.06,NO,1683628597
331,coquimbo,-29.9533,-71.3436,283.0,100,0,3.09,CL,1683628397
332,luanda,-8.8368,13.2343,303.15,74,100,2.06,AO,1683628835
333,ilebo,-4.3167,20.5833,307.04,42,100,1.34,CD,1683628598
334,severo-yeniseyskiy,60.3725,93.0408,276.06,69,98,4.91,RU,1683628598
335,paragominas,-2.9667,-47.4833,297.58,91,69,0.37,BR,1683628598
336,connell,46.6635,-118.8611,283.57,85,92,3.44,US,1683628379
337,zarghun shahr,32.8473,68.4457,295.2,10,0,2.57,AF,1683628598
338,inarajan village,13.2736,144.7484,301.69,90,13,4.53,GU,1683628598
339,hithadhoo,-0.6,73.0833,301.63,73,100,6.56,MV,1683628599
340,sumbawanga,-7.9667,31.6167,297.04,49,20,3.09,TZ,1683628599
341,usogorsk,63.4106,48.6872,283.89,53,99,4.15,RU,1683628599
342,vadso,70.0744,29.7487,277.64,75,75,2.06,NO,1683628489
343,thulamahashi,-24.7246,31.1994,296.52,46,1,2.01,ZA,1683628599
344,changzhou,31.7833,119.9667,291.56,45,11,3.11,CN,1683628600
345,matoury,4.8483,-52.3317,297.13,100,75,3.09,GF,1683628600
346,pariaman,-0.619,100.12,304.18,77,41,1.84,ID,1683628600
347,xilin hot,43.9667,116.0333,290.96,22,93,2.37,CN,1683628600
348,kavaratti,10.5669,72.642,302.58,60,92,4.54,IN,1683628601
349,prado,-17.3411,-39.2208,297.26,89,75,2.65,BR,1683628601
350,fort scott,37.8398,-94.7083,292.55,98,51,3.44,US,1683628601
351,nizhneudinsk,54.9076,99.0276,296.95,23,36,2.85,RU,1683628602
352,palmer,42.1584,-72.3287,283.38,77,76,1.25,US,1683628602
353,peace river,56.2501,-117.286,280.74,98,0,1.03,CA,1683628324
354,la sarre,48.8002,-79.1996,275.15,62,77,1.09,CA,1683628603
355,shiyan,32.6475,110.7781,286.19,97,100,0.62,CN,1683628603
356,lyantor,61.6195,72.1555,280.57,37,73,7.04,RU,1683628603
357,sergeyevka,53.88,67.4158,286.35,23,100,3.26,KZ,1683628603
358,kuqa,41.7278,82.9364,296.61,10,2,6.36,CN,1683628603
359,ilheus,-14.7889,-39.0494,297.05,88,75,2.06,BR,1683628604
360,san juan colorado,16.4586,-97.9536,296.31,75,5,1.11,MX,1683628604
361,betio village,1.358,172.9211,300.17,83,84,4.61,KI,1683628604
362,greenville,35.6127,-77.3663,293.12,97,0,1.54,US,1683628538
363,weno,7.4515,151.8468,300.12,94,100,2.06,FM,1683628604
364,kabalo,-6.05,26.9167,302.91,51,80,2.8,CD,1683628604
